Kode Item,Part Number,Kode Barang Asli,Nama Barang,Kategori,Stok,Harga (Ex PPN),Untuk Mesin Apa
148392,3169380201,534717-999,300 Dpi Main Board Assembly Fru,Sparepart,0,12100000,SR200
148393,3169380202,524010-999,Motherboard,Sparepart,0,0,CR707
148398,3169289801,534717-127,Dc Motor Assembly,Sparepart,0,1853500,SR200
148399,3169289802,534717-187,Feed Roller,Sparepart,0,2288000,SR200
148400,3169289803,534717-110,Fg Motor Assembly,Sparepart,0,1562000,SR200
148401,3169289804,546504-999,Print Head Cd820,Sparepart,0,12100000,SD/CD/CE
148403,3169289805,811889-001,"Power Supply, Universal, 24v Output, 160w",Sparepart,0,4482500,CR
148408,3169289806,534717-104,Heated Roller Unit,Sparepart,0,11341000,SR200
148409,3169289807,507142-003,"Pwa,thermopile",Sparepart,0,0,CR
148418,3169289808,507627-001,"Heater, Ir,24v 50w",Sparepart,0,1254000,CR
148419,3169289809,543829-001,"Head, Ms Read/write. Iso. Gimbal",Sparepart,0,3428700,CD/CE
148420,3169289810,529888-001,"Belt,2,2mm P,112 T,6mm W",Sparepart,0,0,CR
148421,3169289811,529888-002,"Belt,2,2mm P,178 T,6mm W",Sparepart,0,0,CR
148422,3169289812,529557-001,"Belt,2mm P,150 T, 6mm W",Sparepart,0,0,CR
148423,3169289813,525377-999,"Fru,dual,cam Assy",Sparepart,0,0,CR
148457,3169289814,509409-003,"Pwa, Color Ribbon Sensor",Sparepart,0,1017500,CR
148458,3169289815,504503-001,Photocell Assy Narrow Slot,Sparepart,0,1105500,CR
148459,3169289816,509796-001,"Cable Assy, Media Sensors",Sparepart,0,1342000,CR
148464,3169289817,506241-001,"Pwa, Rfid Desktop Module",Sparepart,0,1787500,CR
148465,3169289818,511742-001,Clutch Assy Pick Roller,Sparepart,0,803000,CR
148466,3169289819,511398-001,"Cam,heater Arm",Sparepart,0,0,CR
148469,3169289822,534717-233,One Way Gear,Sparepart,0,2288000,SR200
148470,3169289823,534717-212,Ic Back Plate,Sparepart,0,0,SR200
148473,3169289824,534717-281,Oneway Pulley,Sparepart,0,1573000,SR200
148474,3169289825,534717-105,Heater,Sparepart,0,2530000,SR200
148475,3169289826,534717-349,Non-turdecer Unit (sr200),Sparepart,0,8563500,SR200
148477,3169289827,566348-001,"Pwa,s/c Contact Block",Sparepart,0,0,CE870
148478,3169289828,506335-998,"Mainboard,std",Sparepart,0,0,SD260L
148479,3169289829,572523-998,Mainboard,Sparepart,0,0,SD260
147923,3169289830,812419-002,"Power Supply,72w,24vdc,3a",Sparepart,0,0,EM2S
148480,3169380203,505225-983,"Mainboard,std",Sparepart,0,0,CD820
147924,3169380204,523069-998,"D4 Mainboard,entry Em2",Sparepart,0,0,EM2
149163,1546280260,,Cover Cable Eos1200d/1300d,Sparepart,0,0,Semua
149164,1546280261,,Pcb Assy St W/ Bat Eos 1500d,Sparepart,0,0,Semua
149165,1546280262,,Cover Assy Top Eos-1500d,Sparepart,0,0,Semua
